unit number,time in cycles,operational setting 1,operational setting 2,operational setting 3,sensor measurement 1,sensor measurement 2,sensor measurement 3,sensor measurement 4,sensor measurement 5,sensor measurement 6,sensor measurement 7,sensor measurement 8,sensor measurement 9,sensor measurement 10,sensor measurement 11,sensor measurement 12,sensor measurement 13,sensor measurement 14,sensor measurement 15,sensor measurement 16,sensor measurement 17,sensor measurement 18,sensor measurement 19,sensor measurement 20,sensor measurement 21
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,554.36,2388.06,9046.19,1.30,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.00,39.06,23.4190
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.30,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.00,39.00,23.4236
2,1,-0.0018,0.0006,100.0,518.67,641.89,1583.84,1391.28,14.62,21.60,554.53,2388.01,9054.72,1.30,46.93,522.33,2388.06,8137.72,8.3905,0.03,391,2388,100.00,38.94,23.4585
2,2,0.0043,-0.0003,100.0,518.67,641.82,1587.05,1393.13,14.62,21.61,554.77,2387.98,9051.31,1.30,47.24,522.70,2387.98,8131.09,8.4167,0.03,392,2388,100.00,39.06,23.4085
3,1,0.0008,0.0005,100.0,518.67,642.04,1584.20,1398.13,14.62,21.61,553.96,2388.06,9056.95,1.30,47.14,522.24,2388.00,8138.40,8.4207,0.03,391,2388,100.00,38.96,23.3205
3,2,-0.0010,0.0000,100.0,518.67,642.66,1587.04,1398.62,14.62,21.61,554.76,2388.05,9059.67,1.30,47.35,522.03,2388.01,8137.38,8.3949,0.03,390,2388,100.00,39.07,23.4369
4,1,0.0025,0.0005,100.0,518.67,642.60,1585.40,1402.85,14.62,21.61,553.97,2388.06,9051.10,1.30,47.29,521.94,2388.07,8131.50,8.4200,0.03,393,2388,100.00,39.04,23.3814
4,2,0.0002,-0.0004,100.0,518.67,642.45,1583.54,1410.36,14.62,21.61,554.62,2388.06,9048.41,1.30,47.35,521.70,2388.04,8129.53,8.3999,0.03,391,2388,100.00,39.02,23.4437
5,1,0.0031,0.0002,100.0,518.67,641.77,1583.59,1395.26,14.62,21.61,554.39,2387.98,9066.49,1.30,47.19,522.34,2388.00,8152.22,8.4102,0.03,393,2388,100.00,38.98,23.4468
5,2,0.0002,0.0003,100.0,518.67,642.42,1589.69,1394.88,14.62,21.61,555.57,2388.01,9063.03,1.30,47.09,522.60,2387.99,8153.04,8.4053,0.03,392,2388,100.00,39.12,23.4075
6,1,-0.0019,0.0003,100.0,518.67,642.73,1584.40,1412.34,14.62,21.61,552.99,2388.12,9037.26,1.30,47.56,521.69,2388.12,8116.86,8.4286,0.03,394,2388,100.00,38.94,23.3086
6,2,0.0021,-0.0004,100.0,518.67,642.07,1590.38,1401.10,14.62,21.61,553.02,2388.09,9045.95,1.30,47.65,521.03,2388.07,8126.01,8.4343,0.03,393,2388,100.00,38.89,23.2645
7,1,-0.0005,0.0004,100.0,518.67,642.38,1589.49,1395.48,14.62,21.61,554.76,2387.97,9071.27,1.30,47.24,522.19,2387.99,8141.69,8.4081,0.03,390,2388,100.00,38.97,23.4073
7,2,0.0008,-0.0003,100.0,518.67,642.57,1583.11,1395.97,14.62,21.61,553.97,2388.00,9078.21,1.30,47.00,522.30,2388.02,8148.24,8.4216,0.03,391,2388,100.00,38.85,23.5043
8,1,-0.0026,-0.0003,100.0,518.67,643.18,1585.17,1409.75,14.62,21.61,552.31,2388.12,9048.66,1.30,47.30,521.23,2388.13,8123.47,8.4808,0.03,393,2388,100.00,38.90,23.3468
8,2,-0.0012,-0.0003,100.0,518.67,642.92,1585.97,1410.81,14.62,21.61,552.74,2388.11,9040.66,1.30,47.62,521.82,2388.13,8120.18,8.4209,0.03,392,2388,100.00,38.90,23.2926
9,1,0.0005,0.0004,100.0,518.67,642.18,1582.99,1396.22,14.62,21.61,554.35,2387.96,9065.59,1.30,47.09,522.34,2387.95,8149.16,8.4020,0.03,391,2388,100.00,39.04,23.5349
9,2,0.0001,0.0001,100.0,518.67,641.91,1580.17,1394.70,14.62,21.61,554.85,2387.94,9063.39,1.30,47.12,523.03,2387.98,8148.23,8.4331,0.03,392,2388,100.00,38.97,23.4335
